	27432 - DIVERSIFICADO			27431 - ACCIONES COLOMBIA		
FECHA	val. Unidad	val. Fondo	rt.30	val. Unidad	val. Fondo	rt.30
3/20/2015	" 10,749 "	" 5,263,318,830 "	-2.62 	" 8,183 "	" 3,056,860,003 "	-54.68 
3/21/2015	" 10,750 "	" 5,270,856,793 "	-3.76 	" 8,182 "	" 3,056,683,426 "	-51.23 
3/22/2015	" 10,751 "	" 5,272,048,639 "	-3.77 	" 8,182 "	" 3,056,506,867 "	-42.77 
3/23/2015	" 10,752 "	" 5,272,583,508 "	-3.78 	" 8,181 "	" 3,056,430,327 "	-43.17 
3/24/2015	" 10,768 "	" 5,285,413,227 "	-2.19 	" 8,138 "	" 3,038,861,130 "	-46.69 
3/25/2015	" 10,757 "	" 5,287,212,576 "	-3.59 	" 8,215 "	" 3,073,275,712 "	-46.04 
3/26/2015	" 10,737 "	" 5,307,552,385 "	-6.60 	" 8,214 "	" 3,049,003,988 "	-42.03 
3/27/2015	" 10,738 "	" 5,812,100,294 "	-8.06 	" 8,202 "	" 3,048,903,920 "	-39.26 
3/28/2015	" 10,738 "	" 5,812,887,713 "	-8.31 	" 8,202 "	" 3,048,792,295 "	-37.39 
3/29/2015	" 10,739 "	" 5,813,300,159 "	-7.76 	" 8,201 "	" 3,048,613,183 "	-42.96 
3/30/2015	" 10,723 "	" 5,855,740,371 "	-9.61 	" 8,210 "	" 3,065,922,358 "	-42.60 
3/31/2015	" 10,732 "	" 5,362,799,608 "	-8.62 	" 8,273 "	" 3,099,864,807 "	-37.50 
4/1/2015	" 10,745 "	" 5,364,045,554 "	-6.81 	" 8,355 "	" 3,131,830,830 "	-14.47 
4/2/2015	" 10,746 "	" 5,364,491,900 "	-5.19 	" 8,355 "	" 3,132,569,542 "	 6.68 
4/3/2015	" 10,747 "	" 5,364,938,461 "	-4.76 	" 8,354 "	" 3,132,384,097 "	 4.66 
4/4/2015	" 10,748 "	" 5,367,503,908 "	-4.86 	" 8,354 "	" 3,132,318,672 "	 11.15 
4/5/2015	" 10,749 "	" 5,390,449,038 "	 0.60 	" 8,353 "	" 3,132,233,258 "	 36.18 
4/6/2015	" 10,768 "	" 5,408,924,840 "	 2.63 	" 8,492 "	" 3,184,083,192 "	 66.64 
4/7/2015	" 10,776 "	" 5,418,768,470 "	 3.41 	" 8,521 "	" 3,193,492,779 "	 73.96 
4/8/2015	" 10,790 "	" 5,436,262,375 "	 6.04 	" 8,459 "	" 3,231,684,679 "	 88.15 
4/9/2015	" 10,785 "	" 5,431,830,683 "	 7.55 	" 8,511 "	" 3,257,721,294 "	 114.13 
4/10/2015	" 10,785 "	" 5,448,913,866 "	 6.93 	" 8,508 "	" 3,257,460,137 "	 128.65 
4/11/2015	" 10,786 "	" 5,450,344,740 "	 5.62 	" 8,508 "	" 3,260,138,480 "	 91.51 
4/12/2015	" 10,787 "	" 5,450,775,409 "	 11.27 	" 8,508 "	" 3,262,043,829 "	 78.92 
4/13/2015	" 10,795 "	" 5,470,544,958 "	 12.17 	" 8,544 "	" 2,782,405,527 "	 88.85 
4/14/2015	" 10,798 "	" 5,478,617,322 "	 12.36 	" 8,543 "	" 2,812,985,493 "	 89.21 
4/15/2015	" 10,802 "	" 5,487,204,900 "	 12.84 	" 8,547 "	" 2,817,161,308 "	 79.80 
4/16/2015	" 10,808 "	" 5,489,214,359 "	 11.71 	" 8,574 "	" 2,827,001,725 "	 84.19 
4/17/2015	" 10,807 "	" 5,494,787,176 "	 9.82 	" 8,557 "	" 2,822,008,878 "	 60.91 
4/18/2015	" 10,808 "	" 5,495,416,929 "	 7.50 	" 8,557 "	" 2,825,328,768 "	 68.97 
4/19/2015	" 10,809 "	" 5,497,896,758 "	 6.93 	" 8,556 "	" 2,825,148,394 "	 74.32 
4/20/2015	" 10,811 "	" 5,498,576,526 "	 6.98 	" 8,469 "	" 2,831,649,870 "	 56.34 
4/21/2015	" 10,814 "	" 5,551,201,662 "	 7.23 	" 8,380 "	" 2,796,848,348 "	 39.25 
4/22/2015	" 10,806 "	" 5,532,345,844 "	 6.19 	" 8,465 "	" 2,884,681,823 "	 56.14 
4/23/2015	" 10,813 "	" 5,554,524,048 "	 5.14 	" 8,520 "	" 2,929,316,005 "	 80.05 
4/24/2015	" 10,820 "	" 5,797,750,799 "	 7.31 	" 8,617 "	" 2,956,813,115 "	 82.75 
4/25/2015	" 10,821 "	" 5,805,172,375 "	 9.82 	" 8,617 "	" 2,956,633,883 "	 83.22 
4/26/2015	" 10,822 "	" 5,815,172,536 "	 9.80 	" 8,616 "	" 2,963,210,050 "	 86.66 
4/27/2015	" 10,819 "	" 5,879,091,553 "	 9.32 	" 8,712 "	" 3,005,008,437 "	 112.88 
4/28/2015	" 10,817 "	" 5,882,113,665 "	 8.89 	" 8,822 "	" 3,113,834,735 "	 147.51 
4/29/2015	" 10,816 "	" 5,865,655,459 "	 10.89 	" 8,789 "	" 3,125,139,965 "	 133.81 
4/30/2015	" 10,816 "	" 5,909,219,231 "	 9.64 	" 8,789 "	" 3,134,772,387 "	 112.33 
5/1/2015	" 10,817 "	" 5,910,047,475 "	 8.18 	" 8,789 "	" 3,134,570,366 "	 86.99 
5/2/2015	" 10,817 "	" 5,910,515,553 "	 8.16 	" 8,788 "	" 3,134,443,366 "	 87.19 
5/3/2015	" 10,818 "	" 5,921,611,535 "	 8.14 	" 8,787 "	" 3,134,241,379 "	 87.39 
5/4/2015	" 10,802 "	" 5,912,617,855 "	 5.98 	" 8,755 "	" 3,135,899,145 "	 79.38 
5/5/2015	" 10,798 "	" 5,931,583,974 "	 5.32 	" 8,843 "	" 3,169,694,521 "	 103.26 
5/6/2015	" 10,787 "	" 6,104,928,314 "	 1.77 	" 8,795 "	" 3,168,500,632 "	 53.73 
5/7/2015	" 10,793 "	" 6,089,488,025 "	 1.71 	" 8,627 "	" 3,109,830,191 "	 15.61 
5/8/2015	" 10,802 "	" 5,978,137,796 "	 1.24 	" 8,581 "	" 3,072,103,013 "	 18.94 
5/9/2015	" 10,803 "	" 5,979,397,130 "	 1.88 	" 8,580 "	" 3,071,966,731 "	 9.54 
5/10/2015	" 10,804 "	" 5,979,875,954 "	 1.90 	" 8,580 "	" 3,071,790,466 "	 9.94 
5/11/2015	" 10,796 "	" 5,742,968,132 "	 0.86 	" 8,565 "	" 2,983,222,324 "	 7.75 
5/12/2015	" 10,787 "	" 5,693,831,419 "	-0.27 	" 8,542 "	" 2,968,066,459 "	 4.37 
5/13/2015	" 10,795 "	" 5,700,837,456 "	-0.18 	" 8,521 "	" 2,912,755,620 "	-4.48 
5/14/2015	" 10,797 "	" 5,725,808,148 "	-0.20 	" 8,535 "	" 2,911,525,813 "	-2.43 
5/15/2015	" 10,800 "	" 5,689,524,932 "	-0.42 	" 8,516 "	" 2,905,226,733 "	-5.51 
5/16/2015	" 10,801 "	" 5,690,094,927 "	-0.90 	" 8,516 "	" 2,909,077,498 "	-8.91 
5/17/2015	" 10,802 "	" 5,690,583,127 "	-0.76 	" 8,515 "	" 2,908,899,014 "	-6.87 
5/18/2015	" 10,803 "	" 5,691,065,254 "	-0.74 	" 8,515 "	" 2,908,720,048 "	-6.86 
5/19/2015	" 10,796 "	" 5,679,420,569 "	-1.51 	" 8,578 "	" 2,949,079,296 "	 1.85 
5/20/2015	" 10,794 "	" 5,596,071,299 "	-1.91 	" 8,555 "	" 2,937,554,743 "	 10.93 
5/21/2015	" 10,799 "	" 5,600,044,885 "	-1.70 	" 8,513 "	" 2,910,862,387 "	 18.24 
5/22/2015	" 10,798 "	" 5,580,910,943 "	-0.94 	" 8,503 "	" 2,892,869,307 "	 3.74 
5/23/2015	" 10,799 "	" 5,581,377,161 "	-1.56 	" 8,503 "	" 2,892,690,281 "	-4.04 
5/24/2015	" 10,800 "	" 5,581,843,257 "	-2.29 	" 8,502 "	" 2,892,511,274 "	-16.26 
5/25/2015	" 10,797 "	" 5,586,485,611 "	-2.69 	" 8,472 "	" 2,874,994,869 "	-19.70 
5/26/2015	" 10,795 "	" 5,565,731,932 "	-3.02 	" 8,415 "	" 2,855,944,647 "	-25.79 
5/27/2015	" 10,796 "	" 5,548,395,709 "	-2.53 	" 8,288 "	" 2,805,715,548 "	-45.67 
5/28/2015	" 10,804 "	" 5,442,787,960 "	-1.45 	" 8,254 "	" 2,792,025,193 "	-55.53 
5/29/2015	" 10,810 "	" 5,418,468,281 "	-0.73 	" 8,263 "	" 2,790,762,113 "	-52.89 
5/30/2015	" 10,811 "	" 5,419,683,653 "	-0.65 	" 8,263 "	" 2,790,587,583 "	-52.99 
5/31/2015	" 10,812 "	" 5,420,148,929 "	-0.65 	" 8,262 "	" 2,790,413,070 "	-53.05 
6/1/2015	" 10,805 "	" 5,441,841,300 "	-1.49 	" 8,225 "	" 2,779,579,273 "	-55.54 
6/2/2015	" 10,796 "	" 5,239,425,179 "	-2.54 	" 8,265 "	" 2,794,333,030 "	-52.88 
6/3/2015	" 10,788 "	" 5,225,060,144 "	-1.53 	" 8,272 "	" 2,742,224,692 "	-50.20 
6/4/2015	" 10,786 "	" 5,219,072,840 "	-1.25 	" 8,267 "	" 2,741,912,005 "	-56.49 
6/5/2015	" 10,778 "	" 5,222,907,958 "	-0.70 	" 8,331 "	" 2,741,020,994 "	-49.12 
6/6/2015	" 10,779 "	" 5,223,377,700 "	-1.39 	" 8,330 "	" 2,743,845,250 "	-35.08 
6/7/2015	" 10,780 "	" 5,223,847,000 "	-2.36 	" 8,330 "	" 2,743,665,960 "	-30.56 
6/8/2015	" 10,781 "	" 5,224,316,234 "	-2.37 	" 8,329 "	" 2,743,486,688 "	-30.64 
6/9/2015	" 10,785 "	" 5,215,091,671 "	-2.08 	" 8,326 "	" 2,744,148,601 "	-30.96 
6/10/2015	" 10,789 "	" 5,216,000,055 "	-0.68 	" 8,358 "	" 2,755,144,410 "	-26.30 
6/11/2015	" 10,784 "	" 5,212,347,538 "	-0.14 	" 8,407 "	" 2,748,981,967 "	-18.30 
6/12/2015	" 10,787 "	" 5,216,720,920 "	-0.80 	" 8,396 "	" 2,748,987,995 "	-17.01 
6/13/2015	" 10,788 "	" 5,220,187,256 "	-0.95 	" 8,396 "	" 2,749,369,953 "	-18.77 
6/14/2015	" 10,789 "	" 5,220,653,008 "	-1.14 	" 8,395 "	" 2,749,185,737 "	-16.57 
6/15/2015	" 10,790 "	" 5,221,118,634 "	-1.15 	" 8,394 "	" 2,749,001,540 "	-16.60 
6/16/2015	" 10,792 "	" 5,202,834,295 "	-1.13 	" 8,398 "	" 2,750,840,194 "	-16.16 
6/17/2015	" 10,773 "	" 5,205,744,510 "	-3.19 	" 8,395 "	" 2,754,358,313 "	-16.43 
6/18/2015	" 10,782 "	" 5,272,131,345 "	-1.56 	" 8,418 "	" 2,767,726,308 "	-21.27 
6/19/2015	" 10,786 "	" 5,270,539,212 "	-0.83 	" 8,336 "	" 2,741,870,485 "	-27.74 
6/20/2015	" 10,787 "	" 5,273,538,504 "	-1.29 	" 8,335 "	" 2,741,852,457 "	-23.22 
6/21/2015	" 10,788 "	" 5,274,011,811 "	-1.13 	" 8,334 "	" 2,741,674,435 "	-22.17 
6/22/2015	" 10,785 "	" 5,279,098,946 "	-1.58 	" 8,353 "	" 2,749,507,688 "	-20.05 
6/23/2015	" 10,784 "	" 5,278,936,735 "	-1.77 	" 8,449 "	" 2,778,827,102 "	-8.17 
6/24/2015	" 10,780 "	" 5,280,903,758 "	-1.85 	" 8,459 "	" 2,781,986,762 "	-2.52 
6/25/2015	" 10,773 "	" 5,303,643,773 "	-2.37 	" 8,382 "	" 2,755,556,916 "	-5.13 
6/26/2015	" 10,763 "	" 5,294,812,826 "	-3.62 	" 8,423 "	" 2,769,517,779 "	 21.63 
6/27/2015	" 10,764 "	" 5,295,283,113 "	-4.38 	" 8,423 "	" 2,769,340,224 "	 27.91 
6/28/2015	" 10,765 "	" 5,295,762,174 "	-4.93 	" 8,422 "	" 2,769,331,688 "	 26.16 
6/29/2015	" 10,766 "	" 5,296,307,013 "	-4.93 	" 8,422 "	" 2,769,154,155 "	 26.19 
6/30/2015	" 10,776 "	" 5,320,474,453 "	-3.98 	" 8,477 "	" 2,800,213,999 "	 36.84 
7/1/2015	" 10,772 "	" 5,325,811,993 "	-3.62 	" 8,381 "	" 2,769,714,099 "	 25.94 
7/2/2015	" 10,767 "	" 5,307,593,206 "	-3.17 	" 8,418 "	" 2,767,368,745 "	 25.09 
7/3/2015	" 10,759 "	" 5,307,908,983 "	-3.23 	" 8,376 "	" 2,743,067,581 "	 16.39 
7/4/2015	" 10,760 "	" 5,311,887,761 "	-2.89 	" 8,375 "	" 2,742,998,836 "	 17.20 
7/5/2015	" 10,761 "	" 5,312,384,037 "	-1.96 	" 8,375 "	" 2,742,842,101 "	 6.62 
7/6/2015	" 10,757 "	" 5,307,222,953 "	-2.43 	" 8,361 "	" 2,739,278,764 "	 4.61 
7/7/2015	" 10,761 "	" 5,309,645,882 "	-2.20 	" 8,334 "	" 2,730,671,321 "	 0.74 
7/8/2015	" 10,763 "	" 5,276,884,653 "	-2.07 	" 8,279 "	" 2,788,346,452 "	-7.04 
7/9/2015	" 10,769 "	" 5,287,493,343 "	-1.84 	" 8,323 "	" 2,799,616,089 "	-0.16 
7/10/2015	" 10,764 "	" 5,233,700,365 "	-2.79 	" 8,374 "	" 2,815,883,615 "	 2.74 
7/11/2015	" 10,765 "	" 5,235,097,193 "	-2.13 	" 8,373 "	" 2,815,859,262 "	-4.44 
7/12/2015	" 10,766 "	" 5,237,582,078 "	-2.37 	" 8,372 "	" 2,817,011,115 "	-3.04 
7/13/2015	" 10,767 "	" 5,226,882,402 "	-2.36 	" 8,391 "	" 2,811,185,931 "	-0.28 
7/14/2015	" 10,773 "	" 5,209,059,653 "	-1.78 	" 8,448 "	" 2,750,776,735 "	 8.57 
7/15/2015	" 10,774 "	" 5,188,289,175 "	-1.81 	" 8,441 "	" 2,748,418,249 "	 7.48 
7/16/2015	" 10,781 "	" 5,189,712,631 "	-1.16 	" 8,454 "	" 2,803,931,010 "	 9.06 
7/17/2015	" 10,780 "	" 5,186,600,286 "	 0.73 	" 8,357 "	" 2,768,531,432 "	-4.92 
7/18/2015	" 10,781 "	" 5,187,082,317 "	-0.12 	" 8,357 "	" 2,768,356,196 "	-8.10 
7/19/2015	" 10,782 "	" 5,187,526,551 "	-0.49 	" 8,356 "	" 2,768,180,978 "	 3.51 
7/20/2015	" 10,783 "	" 5,187,990,551 "	-0.50 	" 8,356 "	" 2,768,752,103 "	 3.51 
7/21/2015	" 10,782 "	" 5,167,083,819 "	-0.69 	" 8,309 "	" 2,753,826,603 "	-3.29 
7/22/2015	" 10,793 "	" 5,181,185,773 "	 0.89 	" 8,345 "	" 2,758,527,851 "	-0.68 
7/23/2015	" 10,800 "	" 5,179,981,246 "	 1.69 	" 8,349 "	" 2,718,837,294 "	-13.01 
7/24/2015	" 10,789 "	" 5,163,374,636 "	 0.98 	" 8,326 "	" 2,693,590,516 "	-17.17 
7/25/2015	" 10,790 "	" 5,163,808,891 "	 1.89 	" 8,325 "	" 2,693,415,368 "	-7.50 
7/26/2015	" 10,791 "	" 5,164,314,429 "	 3.13 	" 8,325 "	" 2,693,240,238 "	-12.92 
7/27/2015	" 10,789 "	" 5,118,968,934 "	 2.78 	" 8,278 "	" 2,677,542,579 "	-18.51 
7/28/2015	" 10,790 "	" 5,117,483,122 "	 2.81 	" 8,317 "	" 2,658,336,795 "	-13.69 
7/29/2015	" 10,793 "	" 5,108,290,310 "	 2.99 	" 8,456 "	" 2,703,650,375 "	 4.98 
7/30/2015	" 10,795 "	" 5,119,721,619 "	 2.11 	" 8,446 "	" 2,699,571,584 "	-4.43 
7/31/2015	" 10,799 "	" 5,125,304,453 "	 2.95 	" 8,405 "	" 2,689,025,649 "	 3.82 
8/1/2015	" 10,799 "	" 5,126,864,522 "	 3.67 	" 8,405 "	" 2,688,853,119 "	-1.79 
8/2/2015	" 10,800 "	" 5,127,489,436 "	 4.77 	" 8,404 "	" 2,688,700,608 "	 4.39 
8/3/2015	" 10,778 "	" 5,117,631,741 "	 2.06 	" 8,314 "	" 2,661,453,172 "	-8.10 
8/4/2015	" 10,771 "	" 5,111,560,478 "	 1.19 	" 8,306 "	" 2,659,023,443 "	-9.03 
8/5/2015	" 10,758 "	" 5,111,457,699 "	 0.14 	" 8,262 "	" 2,643,930,349 "	-12.96 
8/6/2015	" 10,743 "	" 5,081,028,344 "	-1.91 	" 8,272 "	" 2,548,011,648 "	-8.14 
8/7/2015	" 10,744 "	" 5,081,922,498 "	-2.05 	" 8,272 "	" 2,546,170,127 "	-0.42 
8/8/2015	" 10,745 "	" 5,083,265,571 "	-2.61 	" 8,271 "	" 2,546,089,205 "	-6.97 
8/9/2015	" 10,746 "	" 5,083,708,417 "	-2.03 	" 8,271 "	" 2,545,933,292 "	-13.84 
8/10/2015	" 10,744 "	" 5,074,686,514 "	-2.27 	" 8,238 "	" 2,536,295,835 "	-17.67 
8/11/2015	" 10,751 "	" 5,083,442,445 "	-1.62 	" 8,174 "	" 2,517,136,289 "	-24.82 
8/12/2015	" 10,764 "	" 5,057,209,592 "	-0.35 	" 8,221 "	" 2,517,223,230 "	-21.89 
8/13/2015	" 10,754 "	" 5,052,615,896 "	-2.12 	" 8,170 "	" 2,498,925,570 "	-33.43 
8/14/2015	" 10,752 "	" 5,047,788,860 "	-2.43 	" 8,163 "	" 2,496,611,053 "	-33.36 
8/15/2015	" 10,753 "	" 5,048,300,994 "	-3.12 	" 8,163 "	" 2,496,450,455 "	-34.79 
8/16/2015	" 10,754 "	" 5,048,883,572 "	-2.89 	" 8,162 "	" 2,496,289,873 "	-24.67 
8/17/2015	" 10,755 "	" 5,049,616,135 "	-2.90 	" 8,162 "	" 2,496,129,308 "	-24.73 
8/18/2015	" 10,751 "	" 5,040,377,438 "	-3.47 	" 8,120 "	" 2,482,679,152 "	-29.12 
8/19/2015	" 10,751 "	" 5,011,787,249 "	-3.51 	" 8,005 "	" 2,446,388,695 "	-40.11 
8/20/2015	" 10,751 "	" 5,013,575,869 "	-3.41 	" 7,956 "	" 2,419,407,968 "	-40.17 
8/21/2015	" 10,728 "	" 4,999,244,417 "	-7.09 	" 7,727 "	" 2,330,840,091 "	-59.95 
8/22/2015	" 10,729 "	" 5,000,597,953 "	-7.66 	" 7,726 "	" 2,330,691,167 "	-60.35 
8/23/2015	" 10,730 "	" 5,001,651,461 "	-6.48 	" 7,726 "	" 2,330,542,258 "	-59.03 
8/24/2015	" 10,710 "	" 4,959,445,296 "	-8.65 	" 7,493 "	" 2,260,430,228 "	-71.44 
8/25/2015	" 10,717 "	" 4,916,361,209 "	-8.00 	" 7,489 "	" 2,244,363,903 "	-71.68 
8/26/2015	" 10,701 "	" 4,913,430,614 "	-9.42 	" 7,513 "	" 2,256,472,739 "	-68.55 
8/27/2015	" 10,701 "	" 4,909,377,313 "	-9.59 	" 7,779 "	" 2,331,621,692 "	-55.47 
8/28/2015	" 10,708 "	" 4,948,359,371 "	-9.19 	" 7,880 "	" 2,359,743,168 "	-57.95 
8/29/2015	" 10,709 "	" 4,949,425,885 "	-9.33 	" 7,880 "	" 2,359,596,694 "	-57.44 
8/30/2015	" 10,710 "	" 4,951,892,110 "	-9.59 	" 7,879 "	" 2,359,436,157 "	-54.86 
8/31/2015	" 10,710 "	" 4,920,623,812 "	-9.61 	" 8,034 "	" 2,408,927,081 "	-43.19 
9/1/2015	" 10,708 "	" 4,904,613,151 "	-9.95 	" 7,835 "	" 2,359,209,064 "	-57.91 
9/2/2015	" 10,685 "	" 4,869,624,383 "	-9.91 	" 7,881 "	" 2,387,339,220 "	-48.25 
9/3/2015	" 10,683 "	" 4,872,112,059 "	-9.49 	" 7,992 "	" 2,422,410,682 "	-38.10 
9/4/2015	" 10,680 "	" 4,859,201,294 "	-8.45 	" 7,956 "	" 2,417,237,443 "	-37.30 
9/5/2015	" 10,681 "	" 4,860,690,839 "	-6.72 	" 7,955 "	" 2,417,087,411 "	-38.41 
9/6/2015	" 10,682 "	" 4,861,180,325 "	-6.71 	" 7,955 "	" 2,416,937,395 "	-38.43 
9/7/2015	" 10,643 "	" 4,850,054,257 "	-10.75 	" 7,982 "	" 2,427,353,019 "	-35.74 
9/8/2015	" 10,634 "	" 4,847,407,132 "	-11.84 	" 7,996 "	" 2,421,344,028 "	-34.35 
9/9/2015	" 10,639 "	" 4,851,748,584 "	-11.16 	" 7,949 "	" 2,416,325,676 "	-35.83 
9/10/2015	" 10,643 "	" 4,865,255,950 "	-11.54 	" 8,056 "	" 2,459,229,222 "	-16.76 
9/11/2015	" 10,655 "	" 4,864,616,487 "	-11.60 	" 8,034 "	" 2,448,961,552 "	-25.01 
9/12/2015	" 10,656 "	" 4,865,998,950 "	-10.51 	" 8,034 "	" 2,448,810,776 "	-19.12 
9/13/2015	" 10,657 "	" 4,867,081,078 "	-10.20 	" 8,033 "	" 2,448,660,017 "	-18.36 
9/14/2015	" 10,656 "	" 4,874,041,963 "	-10.43 	" 8,041 "	" 2,453,207,366 "	-17.33 
9/15/2015	" 10,646 "	" 4,873,677,239 "	-11.54 	" 8,060 "	" 2,460,183,250 "	-14.85 
9/16/2015	" 10,655 "	" 4,843,028,008 "	-10.70 	" 8,120 "	" 2,478,537,983 "	-6.70 
9/17/2015	" 10,665 "	" 4,817,934,560 "	-9.26 	" 8,127 "	" 2,481,214,704 "	 0.50 
9/18/2015	" 10,691 "	" 4,828,108,140 "	 - 	" 8,044 "	" 2,456,864,563 "	 - 
9/19/2015	" 10,692 "	" 4,829,297,600 "	-6.57 	" 8,044 "	" 2,456,713,361 "	 13.76 
9/20/2015	" 10,693 "	" 4,829,796,642 "	-3.91 	" 8,043 "	" 2,463,919,202 "	 62.46 
9/21/2015	" 10,710 "	" 4,635,606,065 "	-2.20 	" 7,955 "	" 2,437,137,958 "	 41.85 
9/22/2015	" 10,686 "	" 4,624,599,044 "	-4.83 	" 7,862 "	" 2,409,706,665 "	 22.85 
9/23/2015	" 10,685 "	" 4,578,806,944 "	 - 	" 7,835 "	" 2,451,015,191 "	 - 
9/24/2015	" 10,669 "	" 4,542,602,689 "	-5.23 	" 7,889 "	" 2,502,687,244 "	 86.73 
9/25/2015	" 10,685 "	" 4,431,405,265 "	 - 	" 7,875 "	" 2,506,870,241 "	 - 
9/26/2015	" 10,686 "	" 4,431,908,551 "	-1.62 	" 7,875 "	" 2,507,225,542 "	 15.55 
9/27/2015	" 10,687 "	" 4,432,411,625 "	 - 	" 7,874 "	" 2,507,080,818 "	 - 
9/28/2015	" 10,644 "	" 4,187,571,782 "	-6.77 	" 7,819 "	" 2,477,520,165 "	-9.38 
9/29/2015	" 10,624 "	" 4,165,383,841 "	-8.75 	" 7,828 "	" 2,483,455,921 "	-7.98 
9/30/2015	" 10,631 "	" 4,160,283,591 "	-8.21 	" 7,896 "	" 2,494,912,458 "	-18.61 
10/1/2015	" 10,638 "	" 4,169,365,583 "	-7.33 	" 7,850 "	" 2,487,481,427 "	 1.95 
10/2/2015	" 10,651 "	" 4,173,188,402 "	-3.53 	" 7,890 "	" 2,459,448,520 "	 1.33 
10/3/2015	" 10,653 "	" 4,173,665,710 "	-3.14 	" 7,890 "	" 2,459,334,684 "	-14.26 
10/4/2015	" 10,654 "	" 4,176,862,880 "	-2.71 	" 7,889 "	" 2,459,200,862 "	-9.54 
10/5/2015	" 10,669 "	" 4,186,938,214 "	-1.29 	" 8,008 "	" 2,496,962,255 "	 8.73 
10/6/2015	" 10,655 "	" 4,081,922,749 "	-2.90 	" 8,088 "	" 2,524,980,555 "	 22.83 
10/7/2015	" 10,667 "	" 4,089,692,405 "	 2.98 	" 8,190 "	" 2,543,493,624 "	 37.42 
10/8/2015	" 10,665 "	" 4,082,851,177 "	 4.05 	" 8,218 "	" 2,571,325,898 "	 40.42 
10/9/2015	" 10,675 "	" 4,101,769,528 "	 4.41 	" 8,226 "	" 2,573,300,406 "	 52.35 
10/10/2015	" 10,676 "	" 4,102,199,012 "	 4.11 	" 8,226 "	" 2,573,157,159 "	 29.74 
10/11/2015	" 10,677 "	" 4,102,628,436 "	 2.67 	" 8,225 "	" 2,573,013,929 "	 33.91 
10/12/2015	" 10,678 "	" 4,103,057,726 "	 2.67 	" 8,225 "	" 2,582,870,714 "	 33.89 
10/13/2015	" 10,667 "	" 4,102,882,297 "	 1.32 	" 8,192 "	" 2,584,130,827 "	 27.64 
10/14/2015	" 10,667 "	" 4,101,807,783 "	 1.53 	" 8,111 "	" 2,559,643,529 "	 11.58 
10/15/2015	" 10,677 "	" 4,076,961,787 "	 3.89 	" 8,055 "	" 2,558,322,352 "	-0.37 
10/16/2015	" 10,680 "	" 4,070,548,142 "	 3.08 	" 8,057 "	" 2,547,571,468 "	-8.54 
10/17/2015	" 10,682 "	" 4,071,066,869 "	 1.93 	" 8,056 "	" 2,547,435,127 "	-9.59 
10/18/2015	" 10,683 "	" 4,073,542,894 "	-1.26 	" 8,056 "	" 2,547,298,791 "	 2.03 
10/19/2015	" 10,659 "	" 4,029,154,680 "	-3.93 	" 8,054 "	" 2,544,841,557 "	 1.86 
10/20/2015	" 10,652 "	" 4,004,748,635 "	-4.81 	" 8,046 "	" 2,563,380,991 "	 0.66 
10/21/2015	" 10,653 "	" 4,000,460,493 "	-6.77 	" 8,043 "	" 2,561,715,667 "	 14.25 
10/22/2015	" 10,662 "	" 4,004,039,945 "	-3.00 	" 8,066 "	" 2,564,060,989 "	 36.04 
10/23/2015	" 10,663 "	" 4,003,849,532 "	-2.89 	" 8,070 "	" 2,565,965,159 "	 42.38 
10/24/2015	" 10,664 "	" 4,022,800,123 "	-0.71 	" 8,069 "	" 2,565,828,022 "	 30.93 
10/25/2015	" 10,665 "	" 4,023,248,724 "	-2.58 	" 8,069 "	" 2,565,690,401 "	 33.61 
10/26/2015	" 10,664 "	" 4,030,240,598 "	-2.88 	" 8,071 "	" 2,570,409,598 "	 34.17 
10/27/2015	" 10,658 "	" 4,030,112,888 "	-3.67 	" 8,023 "	" 2,556,351,628 "	 24.88 
10/28/2015	" 10,668 "	" 4,047,831,303 "	 2.82 	" 7,974 "	" 2,531,134,924 "	 26.18 
10/29/2015	" 10,663 "	" 4,051,614,673 "	 4.66 	" 7,919 "	" 2,512,548,059 "	 14.18 
10/30/2015	" 10,666 "	" 4,066,838,415 "	 4.16 	" 7,924 "	" 2,519,926,973 "	 3.76 
10/31/2015	" 10,667 "	" 4,067,264,611 "	 3.43 	" 7,924 "	" 2,519,902,594 "	 11.30 
11/1/2015	" 10,669 "	" 4,067,690,803 "	 1.97 	" 7,923 "	" 2,519,768,222 "	 4.49 
11/2/2015	" 10,670 "	" 4,068,466,820 "	 1.97 	" 7,923 "	" 2,519,983,865 "	 4.49 
11/3/2015	" 10,649 "	" 4,071,003,428 "	-0.51 	" 7,931 "	" 2,523,684,432 "	 5.79 
11/4/2015	" 10,662 "	" 4,077,506,065 "	-0.82 	" 7,928 "	" 2,516,220,092 "	-11.86 
11/5/2015	" 10,651 "	" 4,079,565,878 "	-0.42 	" 7,976 "	" 2,531,438,766 "	-15.81 
11/6/2015	" 10,639 "	" 4,098,405,586 "	-3.11 	" 7,953 "	" 2,525,629,565 "	-30.03 
11/7/2015	" 10,640 "	" 4,101,025,991 "	-2.78 	" 7,953 "	" 2,525,497,330 "	-32.88 
11/8/2015	" 10,641 "	" 4,101,464,357 "	-3.78 	" 7,952 "	" 2,525,365,110 "	-33.70 
11/9/2015	" 10,643 "	" 4,106,639,004 "	-3.73 	" 7,930 "	" 2,533,352,980 "	-35.88 
11/10/2015	" 10,650 "	" 4,301,170,857 "	-3.05 	" 7,912 "	" 2,525,529,821 "	-37.56 
